"PUBLICATION","SCENARIO","REGION","CATEGORY","PRODUCT","FLOW","UNIT","YEAR","VALUE"
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Supply","Million barrels per day",2010,85.5
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Supply","Million barrels per day",2019,97.9
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Supply","Million barrels per day",2020,91.3
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Supply","Million barrels per day",2030,103
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Supply","Million barrels per day",2050,103
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Oil","Supply","Million barrels per day",2030,96.1
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Oil","Supply","Million barrels per day",2050,76.7
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Oil","Supply","Million barrels per day",2030,87.6
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Oil","Supply","Million barrels per day",2050,47
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2010,2.2
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2019,2.4
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2020,2.1
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2030,2.6
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2050,3
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2030,2.4
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2050,2.3
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2030,2.2
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2050,1.4
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Production","Million barrels per day",2010,83.4
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Production","Million barrels per day",2019,95.5
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Production","Million barrels per day",2020,89.2
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Production","Million barrels per day",2030,100.4
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Production","Million barrels per day",2050,99.9
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Oil","Production","Million barrels per day",2030,93.7
